,Node,23/24,24/25,25/26,26/27,27/28,28/29,29/30,30/31,region,bus_name,bus_id,demand
263,LEIB4A,24,24,24,24,24,24,24,25,nget,LEIGHTON BUZZARD 400kV,4,24
264,LEIB4B,156,158,159,161,164,168,173,179,nget,LEIGHTON BUZZARD 400kV,42,168
267,LHOR40,22,22,22,22,22,22,22,22,nget,LITTLE HORSTED 132kV,594,22
272,LISD20,46,46,46,46,46,46,46,46,nget,LISTER DRIVE 132kV,549,46
273,LITT40_LPN,494,505,517,539,563,592,624,665,nget,LITTLEBROOK 132kV,575,592
274,LITT40_SPN,355,368,383,406,421,443,468,502,nget,LITTLEBROOK 132kV,575,443
275,LOVE40,358,358,361,365,370,375,379,382,nget,LOVEDEAN 132kV,744,375
280,MACC20,19,19,20,20,21,22,23,23,nget,MACCLESFIELD 33kV,842,22
282,MAGA20,366,360,381,399,421,439,455,474,nget,MARGAM 275kV,456,439
283,MANN40,149,153,190,241,223,226,231,236,nget,MANNINGTON 132kV,568,226
286,MELK40_SEP,12,30,30,30,30,30,30,30,nget,MELKSHAM 132kV,537,30
287,MELK40_WPD,76,76,76,76,76,76,76,76,nget,MELKSHAM 132kV,537,76
289,MILH2A_EPN,23,55,72,75,78,80,83,85,nget,MILLHILL 275kV,363,80
290,MILH2A_LPN,32,33,98,99,101,103,104,106,nget,MILLHILL 275kV,363,103
291,MILH2B_EPN,291,292,296,304,310,315,321,333,nget,MILLHILL 275kV,422,315
292,MILH2B_LPN,9,9,19,20,21,21,22,23,nget,MILLHILL 275kV,422,21
293,MITY40,1,1,0,0,0,0,0,0,nget,MINETY 132kV,737,0
299,NECH20,379,390,402,408,417,428,443,460,nget,NECHELLS 132kV,621,428
300,NEEP20,311,320,325,331,338,349,360,402,nget,NEEPSEND 33kV,844,349
302,NEWX20,18,18,18,19,19,19,20,20,nget,NEW CROSS 66kV,789,19
303,NFLE40,30,25,22,25,28,32,36,39,nget,NORTHFLEET EAST 132kV,676,32
304,NHYD20,254,257,260,266,273,285,297,313,nget,NORTH HYDE 66kV,810,285
305,NINF40,72,72,73,75,77,80,82,90,nget,NINFIELD 132kV,785,80
306,NORL2A,23,23,24,26,29,32,35,38,nget,NORTON LEES 275kV,489,32
307,NORL2B,133,133,133,133,133,133,133,133,nget,NORTON LEES 275kV,500,133
308,NORM40,17,20,23,26,29,33,36,40,nget,NORWICH MAIN 132kV,728,33
309,NORT20,198,202,207,214,221,230,241,255,nget,NORTON 132kV,753,230
310,NURS40,55,71,87,104,121,180,198,218,nget,NURSLING 132kV,623,180
311,NURS4A,108,141,142,140,145,150,154,159,nget,NURSLING 400kV,31,150
312,OCKH20,88,88,88,89,89,90,91,97,nget,OCKERHILL 132kV,610,90
313,OFFE20,264,262,271,288,311,336,358,382,nget,OFFERTON 33kV,825,336
314,OLDB20,17,24,24,24,24,24,24,24,nget,OLDBURY 132kV,721,24
316,OSBA40,14,14,14,13,10,10,13,14,nget,OSBALDWICK 132kV,695,10
317,PADI40,93,94,96,101,105,109,116,126,nget,PADIHAM 132kV,657,109
318,PAFB4B,34,35,36,37,38,40,41,42,nget,PATFORD BRIDGE 400kV,54,40
326,PELH40,195,202,210,229,245,256,266,276,nget,PELHAM 132kV,731,256
327,PEMB40,387,393,335,345,360,376,392,411,nget,PEMBROKE 132kV,640,376
328,PENN20,12,17,23,28,34,40,46,52,nget,PENN 132kV,727,40
329,PENT40,3,3,3,3,3,3,4,3,nget,PENTIR 132kV,678,3
331,PEWO40,97,99,102,105,108,111,115,121,nget,PENWORTHAM 275kV,507,111
332,PITS20,369,437,515,535,575,615,651,689,nget,PITSMOOR 33kV,817,615
335,POPP20,2,2,2,2,2,2,2,2,nget,POPPLETON 33kV,824,2
340,PUDM40,190,205,217,229,243,258,272,291,nget,PUDDINGMILL 400kV,312,258
341,PYLE20,26,27,27,28,29,30,32,35,nget,PYLE 132kV,635,30
343,RAIN20_SPM,258,341,344,430,440,453,467,487,nget,RAINHILL 132kV,741,453
346,RASS40,26,27,27,28,29,30,32,35,nget,RASSAU 132kV,591,30
347,RATS40,63,72,83,93,105,118,130,145,nget,RATCLIFFE-ON-SOAR 132kV,703,118
348,RAYL40,476,490,501,517,533,548,570,599,nget,RAYLEIGH 400kV,169,548
349,REBR20,18,18,18,19,19,19,20,20,nget,REDBRIDGE 33kV,841,19
353,ROCH20,6,6,6,6,4,4,4,4,nget,ROCHDALE 132kV,645,4
354,ROCK40,-6,-6,-6,-6,-6,-6,-6,-6,nget,ROCKSAVAGE 132kV,704,-6
356,RUGE40,15,15,45,46,46,46,46,47,nget,RUGELEY 132kV,777,46
357,RYEH40,12,14,16,19,26,33,42,49,nget,RYE HOUSE 132kV,758,33
358,RYEH4A,9,9,19,20,21,21,22,23,nget,RYE HOUSE 400kV,3,21
361,SAEN20,3,2,2,2,2,2,2,2,nget,SALTEND NORTH 132kV,578,2
362,SAFO,-18,-18,-18,-18,-18,-18,-18,-18,nget,SANDFORD 132kV,760,-18
363,SALH20,1,3,3,3,3,3,3,3,nget,SALTHOLME 132kV,779,3
367,SEAB40,73,101,128,130,133,139,145,151,nget,SEABANK 132kV,541,139
368,SELL40,21,24,26,89,92,96,99,102,nget,SELLINDGE 132kV,776,96
372,SHEC20,3,2,2,2,2,2,2,2,nget,SHEFFIELD CITY 33kV,831,2
374,SHRE4A,15,15,45,46,46,46,46,47,nget,SHREWSBURY 400kV,70,46
379,SJOW20,307,316,323,328,336,346,359,372,nget,ST.JOHNS WOOD 132kV,774,346
380,SJOW40,13,13,29,29,29,29,36,36,nget,ST.JOHNS WOOD 132kV,774,29
381,SKLG20,495,499,505,515,531,540,564,597,nget,SKELTON GRANGE 132kV,699,540
383,SMAN20,45,48,105,110,114,120,125,130,nget,SOUTH MANCHESTER 132kV,687,120
386,SPEN4A,24,25,25,27,28,29,31,33,nget,SPENNYMOOR 132kV,772,29
387,SSHI20,1,3,3,3,3,3,3,3,nget,SOUTH SHIELDS 33kV,839,3
388,STAH4A,365,375,377,378,380,392,405,423,nget,STANAH 400kV,177,392
389,STAH4B,389,420,466,485,503,517,532,559,nget,STANAH 400kV,162,517
390,STAL20,12,43,47,52,57,63,68,74,nget,STALYBRIDGE 132kV,599,63
391,STAY40,395,400,408,417,426,438,446,477,nget,STAYTHORPE 400kV,285,438
392,STEW20,23,23,24,26,29,32,35,38,nget,STELLA WEST 275kV,480,32
393,STEW2A,16,17,17,17,18,18,19,19,nget,STELLA WEST 275kV,480,18
401,SUND40,0,0,69,72,76,80,85,90,nget,SUNDON 33kV,819,80
402,SWAN20_SWA,-241,-232,-219,-202,-178,-152,-126,-95,nget,SWANSEA NORTH 132kV,709,-152
405,TAUN4A,24,28,33,39,44,49,54,60,nget,TAUNTON 132kV,764,49
406,TAUN4B,15,15,15,15,15,16,16,17,nget,TAUNTON 132kV,764,16
411,TEMP2A,8,8,8,9,9,10,10,10,nget,TEMPLEBOROUGH 33kV,833,10
412,TEMP2B,485,518,527,548,570,589,602,616,nget,TEMPLEBOROUGH 33kV,833,589
413,THOM20,0,0,0,0,0,0,0,0,nget,THORPE MARSH 66kV,790,0
414,THUR20,22,43,44,44,45,46,47,47,nget,THURCROFT 66kV,802,46
416,TILB20,12,14,16,19,26,33,42,49,nget,TILBURY 132kV,720,33
417,TILB40,22,22,22,22,22,22,22,22,nget,TILBURY 132kV,720,22
418,TINP2A,0,0,0,0,-10,-20,-20,-20,nget,TINSLEY PARK 33kV,820,-20
419,TINP2B,66,74,73,76,79,84,88,94,nget,TINSLEY PARK 33kV,820,84
420,TODP20,-4,-4,-4,-4,-4,-4,-4,-4,nget,TOD POINT 66kV,804,-4
422,TOTT20,22,23,24,34,35,35,36,37,nget,TOTTENHAM 132kV,612,35
423,TRAW20,30,52,53,54,55,56,57,59,nget,TRAWSFYNYDD 132kV,648,56
426,TYNE20,432,453,473,495,519,542,560,580,nget,TYNEMOUTH 11kV,848,542
427,UPPB21,21,22,23,24,25,27,28,31,nget,UPPER BOAT 275kV,359,27
428,UPPB22,71,73,76,78,80,82,91,96,nget,UPPER BOAT 275kV,379,82
429,USKM20,176,206,229,246,291,304,318,331,nget,USKMOUTH 132kV,685,304
430,WALH40,12,17,23,28,34,40,46,52,nget,WALHAM 400kV,21,40
431,WALP40_EME,9,10,11,12,13,15,16,18,nget,WALPOLE 132kV,609,15
432,WALP40_EPN,97,99,102,105,108,111,115,121,nget,WALPOLE 132kV,609,111
433,WARL20,22,23,24,34,35,35,36,37,nget,WARLEY 132kV,716,35
434,WASF2A,93,94,96,101,105,109,116,126,nget,WASHWAY FARM 275kV,340,109
435,WASF2B,24,28,32,37,91,95,99,103,nget,WASHWAY FARM 275kV,450,95
436,WATS2A,49,49,49,49,49,49,78,78,nget,WATFORD SOUTH 132kV,686,49
437,WATS2B,22,22,22,22,22,22,22,22,nget,WATFORD SOUTH 132kV,686,22
438,WBOL20,63,64,66,67,69,72,74,79,nget,WEST BOLDON 66kV,794,72
439,WBUR40,507,549,609,561,584,602,614,623,nget,WEST BURTON 132kV,633,602
444,WHAM40,5,6,7,8,9,9,9,9,nget,WESTHAM 132kV,682,9
445,WHGA20,12,43,47,52,57,63,68,74,nget,WHITEGATE 132kV,605,63
448,WHSO20,-4,-4,-4,-4,-4,-4,-4,-4,nget,WHITSON 33kV,828,-4
451,WIBA20,22,43,44,44,45,46,47,47,nget,WINCOBANK 33kV,832,46
452,WIEN2A,45,72,74,76,78,80,82,85,nget,WILLENHALL 275kV,420,80
453,WIEN2B,252,281,288,293,302,308,322,342,nget,WILLENHALL 275kV,474,308
454,WILE20,0,0,0,0,0,0,158,158,nget,WILLINGTON EAST 400kV,163,0
455,WILE40,-14,-14,-14,-14,-14,-14,-14,-14,nget,WILLINGTON EAST 400kV,163,-14
456,WIMB20,12,13,14,16,14,16,19,21,nget,WIMBLEDON 132kV,690,16
459,WISD20_EPN,23,32,31,34,37,41,45,49,nget,WILLESDEN 66kV,793,41
460,WISD20_LPN,23,32,31,34,37,41,45,49,nget,WILLESDEN 66kV,793,41
461,WISD20_SEP,-11,-11,-11,-11,-11,-11,-11,-11,nget,WILLESDEN 66kV,793,-11
463,WMEL20,27,27,28,29,30,31,33,35,nget,WEST MELTON 132kV,664,31
466,WTHU4A,476,482,491,502,522,534,560,592,nget,WEST THURROCK 400kV,272,534
467,WTHU4B,537,603,655,663,721,782,831,890,nget,WEST THURROCK 400kV,206,782
468,WWEY20,80,81,87,90,94,98,101,104,nget,WEST WEYBRIDGE 132kV,726,98
469,WYLF40,30,52,53,54,55,56,57,59,nget,WYLFA 132kV,691,56
470,WYMO40,42,48,48,50,51,52,54,55,nget,WYMONDLEY 132kV,565,52
