,Node,23/24,24/25,25/26,26/27,27/28,28/29,29/30,30/31,region,bus_name,bus_id
335,POPP20,2,2,2,2,2,2,2,2,nget,POPPLETON 33kV,840
336,PORA1Q,100,100,106,109,112,113,116,122,,,
337,PORA1R,34,35,36,37,38,39,40,41,,,
338,PORD2Q,9,13,38,38,38,38,39,39,,,
339,PORD2R,18,21,78,81,83,86,89,92,,,
340,PUDM40,190,205,217,229,243,258,272,291,nget,PUDDINGMILL 400kV,0
341,PYLE20,26,27,27,28,29,30,32,35,nget,PYLE 132kV,776
342,QUOI10,71,122,193,194,195,197,198,200,,,
343,RAIN20_SPM,258,341,344,430,440,453,467,487,nget,RAINHILL 132kV,583
344,RANN1Q,191,198,204,293,305,319,334,354,,,
345,RANN1R,34,35,36,37,38,39,40,41,,,
346,RASS40,26,27,27,28,29,30,32,35,nget,RASSAU 132kV,654
347,RATS40,63,72,83,93,105,118,130,145,nget,RATCLIFFE-ON-SOAR 132kV,773
348,RAYL40,476,490,501,517,533,548,570,599,nget,RAYLEIGH 400kV,180
349,REBR20,18,18,18,19,19,19,20,20,nget,REDBRIDGE 33kV,835
350,REDH10,570,574,579,600,622,646,673,700,,,
351,REDM1Q,484,486,491,497,508,518,529,552,,,
352,REDM1R,435,442,455,473,505,530,538,547,,,
353,ROCH20,6,6,6,6,4,4,4,4,nget,ROCHDALE 132kV,759
354,ROCK40,-6,-6,-6,-6,-6,-6,-6,-6,nget,ROCKSAVAGE 132kV,781
355,ROTI20,11,11,11,11,11,11,11,11,,,
356,RUGE40,15,15,45,46,46,46,46,47,nget,RUGELEY 132kV,640
357,RYEH40,12,14,16,19,26,33,42,49,nget,RYE HOUSE 132kV,761
358,RYEH4A,9,9,19,20,21,21,22,23,nget,RYE HOUSE 400kV,178
359,SACO1Q,-17,-17,-17,-17,-17,-17,-17,-17,,,
360,SACO1R,52,55,58,62,68,74,82,92,,,
361,SAEN20,3,2,2,2,2,2,2,2,nget,SALTEND NORTH 132kV,602
362,SAFO,-18,-18,-18,-18,-18,-18,-18,-18,nget,SANDFORD 132kV,549
363,SALH20,1,3,3,3,3,3,3,3,nget,SALTHOLME 132kV,770
364,SANX1Q,25,26,38,70,106,140,167,194,,,
365,SANX1R,95,95,96,102,103,106,107,112,,,
366,SBAR40,76,81,83,85,87,89,93,99,,,
367,SEAB40,73,101,128,130,133,139,145,151,nget,SEABANK 132kV,622
368,SELL40,21,24,26,89,92,96,99,102,nget,SELLINDGE 132kV,657
369,SFEG1Q,161,164,168,172,212,254,264,275,,,
370,SFEG1R,435,442,455,473,505,530,538,547,,,
371,SFIL1Q,14,19,22,56,60,64,67,71,,,
372,SHEC20,3,2,2,2,2,2,2,2,nget,SHEFFIELD CITY 33kV,830
373,SHIN10,11,11,11,11,11,11,11,11,,,
374,SHRE4A,15,15,45,46,46,46,46,47,nget,SHREWSBURY 400kV,114
375,SHRU2Q,145,175,177,184,186,191,200,213,,,
376,SHRU2R,6,6,6,6,6,7,7,7,,,
377,SIGH2Q,468,472,483,494,506,553,575,606,,,
378,SIGH2R,6,6,6,6,6,7,7,7,,,
379,SJOW20,307,316,323,328,336,346,359,372,nget,ST.JOHNS WOOD 132kV,739
380,SJOW40,13,13,29,29,29,29,36,36,nget,ST.JOHNS WOOD 132kV,739
381,SKLG20,495,499,505,515,531,540,564,597,nget,SKELTON GRANGE 132kV,607
382,SLOY10,14,19,22,56,60,64,67,71,,,
383,SMAN20,45,48,105,110,114,120,125,130,nget,SOUTH MANCHESTER 132kV,769
384,SPAV1Q,34,39,41,45,49,54,58,62,,,
385,SPAV1R,150,153,156,163,165,168,175,180,,,
386,SPEN4A,24,25,25,27,28,29,31,33,nget,SPENNYMOOR 132kV,669
387,SSHI20,1,3,3,3,3,3,3,3,nget,SOUTH SHIELDS 33kV,839
388,STAH4A,365,375,377,378,380,392,405,423,nget,STANAH 400kV,319
389,STAH4B,389,420,466,485,503,517,532,559,nget,STANAH 400kV,220
390,STAL20,12,43,47,52,57,63,68,74,nget,STALYBRIDGE 132kV,553
391,STAY40,395,400,408,417,426,438,446,477,nget,STAYTHORPE 400kV,309
392,STEW20,23,23,24,26,29,32,35,38,nget,STELLA WEST 275kV,364
393,STEW2A,16,17,17,17,18,18,19,19,nget,STELLA WEST 275kV,364
394,STHA2A,22,22,22,22,22,23,23,24,,,
395,STHA2B,229,256,263,268,274,283,292,304,,,
396,STIR1S,22,22,22,22,22,23,23,24,,,
397,STIR1T,95,95,96,102,103,106,107,112,,,
398,STLE10_SPD,46,46,47,48,48,50,51,52,,,
399,STRI1Q,12,12,11,11,11,12,12,12,,,
400,STRI1R,503,520,541,550,561,575,592,636,,,
401,SUND40,0,0,69,72,76,80,85,90,nget,SUNDON 33kV,825
402,SWAN20_SWA,-241,-232,-219,-202,-178,-152,-126,-95,nget,SWANSEA NORTH 132kV,764
403,TARL1Q,12,12,11,11,11,12,12,12,,,
404,TARL1R,3,3,3,3,3,3,3,3,,,
405,TAUN4A,24,28,33,39,44,49,54,60,nget,TAUNTON 132kV,668
406,TAUN4B,15,15,15,15,15,16,16,17,nget,TAUNTON 132kV,668
407,TAYN1Q,498,527,525,551,583,617,650,687,,,
408,TAYN1R,276,250,235,235,219,224,214,221,,,
409,TELR1Q,107,109,110,113,117,121,126,133,,,
410,TELR1R,375,380,389,394,403,412,426,444,,,
411,TEMP2A,8,8,8,9,9,10,10,10,nget,TEMPLEBOROUGH 33kV,818
412,TEMP2B,485,518,527,548,570,589,602,616,nget,TEMPLEBOROUGH 33kV,818
413,THOM20,0,0,0,0,0,0,0,0,nget,THORPE MARSH 66kV,809
414,THUR20,22,43,44,44,45,46,47,47,nget,THURCROFT 66kV,799
415,THUS10,750,778,801,828,859,895,939,996,,,
416,TILB20,12,14,16,19,26,33,42,49,nget,TILBURY 132kV,754
417,TILB40,22,22,22,22,22,22,22,22,nget,TILBURY 132kV,754
418,TINP2A,0,0,0,0,-10,-20,-20,-20,nget,TINSLEY PARK 33kV,816
419,TINP2B,66,74,73,76,79,84,88,94,nget,TINSLEY PARK 33kV,816
420,TODP20,-4,-4,-4,-4,-4,-4,-4,-4,nget,TOD POINT 66kV,805
421,TONG10,46,46,47,48,48,50,51,52,,,
422,TOTT20,22,23,24,34,35,35,36,37,nget,TOTTENHAM 132kV,682
423,TRAW20,30,52,53,54,55,56,57,59,nget,TRAWSFYNYDD 132kV,784
424,TUMB1Q,56,124,126,128,131,135,139,144,,,
425,TUMB1R,11,21,30,40,49,59,69,79,,,
426,TYNE20,432,453,473,495,519,542,560,580,nget,TYNEMOUTH 11kV,848
427,UPPB21,21,22,23,24,25,27,28,31,nget,UPPER BOAT 275kV,351
428,UPPB22,71,73,76,78,80,82,91,96,nget,UPPER BOAT 275kV,528
429,USKM20,176,206,229,246,291,304,318,331,nget,USKMOUTH 132kV,774
430,WALH40,12,17,23,28,34,40,46,52,nget,WALHAM 400kV,194
431,WALP40_EME,9,10,11,12,13,15,16,18,nget,WALPOLE 132kV,748
432,WALP40_EPN,97,99,102,105,108,111,115,121,nget,WALPOLE 132kV,748
433,WARL20,22,23,24,34,35,35,36,37,nget,WARLEY 132kV,543
434,WASF2A,93,94,96,101,105,109,116,126,nget,WASHWAY FARM 275kV,491
435,WASF2B,24,28,32,37,91,95,99,103,nget,WASHWAY FARM 275kV,389
436,WATS2A,49,49,49,49,49,49,78,78,nget,WATFORD SOUTH 132kV,663
437,WATS2B,22,22,22,22,22,22,22,22,nget,WATFORD SOUTH 132kV,663
438,WBOL20,63,64,66,67,69,72,74,79,nget,WEST BOLDON 66kV,804
439,WBUR40,507,549,609,561,584,602,614,623,nget,WEST BURTON 132kV,787
440,WFIE1A,605,614,620,639,653,663,676,716,,,
441,WFIE1B,216,227,247,271,304,333,360,389,,,
442,WGEO2Q,219,221,226,232,239,246,254,263,,,
443,WGEO2R,238,240,246,254,264,273,289,311,,,
444,WHAM40,5,6,7,8,9,9,9,9,nget,WESTHAM 132kV,577
445,WHGA20,12,43,47,52,57,63,68,74,nget,WHITEGATE 132kV,728
446,WHHO2Q,302,305,296,255,264,272,275,274,,,
447,WHHO2R,196,217,241,251,261,272,376,484,,,
448,WHSO20,-4,-4,-4,-4,-4,-4,-4,-4,nget,WHITSON 33kV,838
449,WHTL1S,64,99,99,100,100,151,151,152,,,
450,WHTL1T,13,13,13,13,13,14,14,14,,,
451,WIBA20,22,43,44,44,45,46,47,47,nget,WINCOBANK 33kV,833
452,WIEN2A,45,72,74,76,78,80,82,85,nget,WILLENHALL 275kV,345
453,WIEN2B,252,281,288,293,302,308,322,342,nget,WILLENHALL 275kV,426
454,WILE20,0,0,0,0,0,0,158,158,nget,WILLINGTON EAST 400kV,94
455,WILE40,-14,-14,-14,-14,-14,-14,-14,-14,nget,WILLINGTON EAST 400kV,94
456,WIMB20,12,13,14,16,14,16,19,21,nget,WIMBLEDON 132kV,660
457,WIOW1Q,129,130,132,136,140,145,151,159,,,
458,WIOW1R,11,21,30,40,49,59,69,79,,,
459,WISD20_EPN,23,32,31,34,37,41,45,49,nget,WILLESDEN 66kV,806
460,WISD20_LPN,23,32,31,34,37,41,45,49,nget,WILLESDEN 66kV,806
461,WISD20_SEP,-11,-11,-11,-11,-11,-11,-11,-11,nget,WILLESDEN 66kV,806
462,WISH20,163,164,166,168,171,176,182,190,,,
463,WMEL20,27,27,28,29,30,31,33,35,nget,WEST MELTON 132kV,734
464,WOHI1Q,177,180,186,194,205,215,226,236,,,
465,WOHI1R,202,209,220,225,231,238,247,262,,,
466,WTHU4A,476,482,491,502,522,534,560,592,nget,WEST THURROCK 400kV,5
467,WTHU4B,537,603,655,663,721,782,831,890,nget,WEST THURROCK 400kV,121
468,WWEY20,80,81,87,90,94,98,101,104,nget,WEST WEYBRIDGE 132kV,775
469,WYLF40,30,52,53,54,55,56,57,59,nget,WYLFA 132kV,686
470,WYMO40,42,48,48,50,51,52,54,55,nget,WYMONDLEY 132kV,656
