Project Name,Customer Name,Connection Site,Stage,MW Connected,MW Increase / Decrease,Cumulative Total Capacity (MW),MW Effective From,Project Status,Agreement Type,HOST TO,Plant Type,Project ID,Project No
Bad a Cheo Wind Farm,RWE RENEWABLES UK SWINDON LIMITED,Mybster 3 33kV Substation,,26.65,0,26.65,,Built,Directly Connected,SHET,Wind Onshore,a0l4L0000005ilU,PRO-000018
Baillie Greener Grid Park,STATKRAFT UK LTD,Baillie 275KV Substation,,0,48,48,2026-10-31,Scoping,Directly Connected,SHET,Energy Storage System; Reactive Compensation,a0l4L0000005ig3,PRO-001701
Baillie Wind Farm,BAILLIE WINDFARM LIMITED,Dounreay GSP,,52.5,0,52.5,,Built,Embedded,SHET,Wind Onshore,a0l4L0000005iUq,PRO-000020
Balbougie Energy Centre BEGA,Balbougie Energy Centre II Limited,Inverkeithing GSP,,0,42,42,2025-04-30,Consents Approved,Embedded,SPT,Energy Storage System,a0l4L0000005iTp,PRO-002065
Balliemeanoch PSH,ILI (Borders PSH) Ltd,Balliemeanoch 275kV Substation,,0,900,900,2034-10-31,Scoping,Directly Connected,SHET,Pump Storage,a0l4L0000005iRO,PRO-001901
Ballygroggan Wind Farm,DALRIADA RENEWABLES LIMITED,Tangy IV 132KV Substation,,0,96,96,2034-10-31,Scoping,Directly Connected,SHET,Wind Onshore,a0l8e000000exU0,PRO-003733
Balvedavist 162 Battery Storage,Sun4net Ltd,Mybster 132/33kV Substation,,0,162,162,2027-07-31,Scoping,Directly Connected,SHET,Energy Storage System,a0l4L0000005iaJ,PRO-002024
Banc y Celyn Energy Park,Wind 2 Project 2 Limited,Future Swansea North 132kV,,0,165,165,2033-07-01,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar); Wind Onshore,a0l4L0000005ia8,PRO-002011
Bankend Rig III Wind Farm,WILSON RENEWABLES III LLP,Bankend Rig III Windfarm 132/33kV Substation,,0,78,78,2030-04-30,Scoping,Directly Connected,SPT,Wind Onshore,a0l8e000000TPcZ,PRO-003451
Bankhead BESS,GPC Battery Ltd,Eccles 400kV Substation,,0,500,500,2036-10-30,Scoping,Directly Connected,SPT,Energy Storage System,a0l8e000000TPHd,PRO-003236
Bankside BESS,FALKIRK POWER LTD,Bainsford 132kV Substation,,0,43,43,2024-10-31,Consents Approved,Embedded,SPT,Energy Storage System,a0l4L0000005iWY,PRO-002151
Barge Way 120MW BESS,FPC Electric Land Limited,Kemsley 132kV Substation,,0,120,120,2031-10-31,Scoping,Embedded,NGET,Energy Storage System,a0l4L0000005iX2,PRO-002144
Barking PV BESS & Substation,O&G Solar (SPV 19) Limited,Barking 275kV Substation,,0,99.9,99.9,2028-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e0000011yTT,PRO-003518
Barnby Solar Farm,KS SPV 75 LIMITED,Wymondley 400kV Substation,,0,249.9,249.9,2034-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000001201C,PRO-003607
Barrow Offshore Wind Farm,BARROW OFFSHORE WIND LIMITED,Barrow 132/33kV Offshore Substation,,90,0,90,,Built,Directly Connected,OFTO,Wind Offshore,a0l4L0000005ilX,PRO-000022
Barton Hill,VIRIDIS 178 LIMITED,Abham GSP,,20.88,0,20.88,,Built,Embedded,NGET,CHP (Combined Heat and Power),a0l4L0000005iUs,PRO-000024
Battery Point BESS,Point and Sandwick Power Limited,Stornoway GSP,,0,25,25,2030-10-31,Scoping,Embedded,SHET,Energy Storage System,a0l4L0000005iMM,PRO-002335
Beanacre BESS,Grenergy Renewables UK Limited,Melksham 132kV Substation,,0,200,200,2037-10-15,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iwo,PRO-002452
Bearsden BESS,BEARSDEN BESS LTD,Windy Hill Grid 132kV Substation,,0,100,100,2028-10-31,Scoping,Directly Connected,SPT,Energy Storage System,a0l8e0000012gHB,PRO-004404
Beatrice Sync Comp,TINZ PROGRAMME 1 PROJECTCO 3 LIMITED,Beatrice 400kV Substation,,0,1,1,2023-07-31,Scoping,Directly Connected,OFTO,Reactive Compensation,a0l4L0000005ihi,PRO-001757
Beatrice Wind Farm,BEATRICE OFFSHORE WINDFARM LIMITED,Beatrice 400kV Substation,,588,0,588,,Built,Directly Connected,SHET,Wind Offshore,a0l4L0000005ilY,PRO-000025
Beauly 02 BESS,VIRMATI ENERGY LTD,Beauly GSP,,0,100,100,2028-12-31,Scoping,Directly Connected,SHET,Energy Storage System,a0l8e000000exTq,PRO-003731
Beaw Field Wind Farm,BEAW FIELD SHETLAND LIMITED,Beaw Field 132/33kV Substation,,0,72,72,2027-04-01,Consents Approved,Directly Connected,SHET,Wind Onshore,a0l4L0000005iya,PRO-000026
Beddington 1 BESS,Bluestone Energy Ltd,Beddington 132kV Substation,,0,240,240,2028-10-31,Scoping,Embedded,NGET,Energy Storage System,a0l8e000000TPAX,PRO-003170
Beddington 2 BESS,Bluestone Energy Ltd,Beddington 132kV Substation,,0,240,240,2028-10-31,Scoping,Embedded,NGET,Energy Storage System,a0l8e0000011zPI,PRO-003577
Beechgreen Energyfarm,BEECHGREEN ENERGYFARM LIMITED,Burwell Main 400kV Substation,,0,49.99,49.99,2024-01-12,Scoping,Directly Connected,NGET,PV Array (Photo Voltaic/solar),a0l4L0000005ixn,PRO-001018
Beech Street/City Road,CITIGEN (LONDON) LIMITED,Beech Street/City Road Substation,,30,0,30,,Built,Embedded,NGET,CHP (Combined Heat and Power),a0l4L0000005iUt,PRO-000027
Beinn an Tuirc 2,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Carradale 1 GSP,,43.7,0,43.7,,Built,Embedded,SHET,Wind Onshore,a0l4L0000005iUu,PRO-000028
Beinn an Tuirc 3,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Carradale 1 GSP,,50,0,50,,Built,Embedded,SHET,Wind Onshore,a0l4L0000005iUv,PRO-000029
Beinneun Wind Farm,BEINNEUN WIND FARM LTD,Beinneun 132kV Substation,,109,0,109,,Built,Directly Connected,SHET,Wind Onshore,a0l4L0000005ilZ,PRO-000031
Beinn Tharsuinn,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Alness GSP,,29,0,29,,Built,Embedded,SHET,Wind Onshore,a0l4L0000005iUw,PRO-000030
Beinn Tharsuinn Extension,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Beinn Tharsuinn Extension 132/33kV Substation,,0,84,84,2029-10-31,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005iaN,PRO-001035
Bellbroughton Energy Park,ELGIN ENERGY ES CO LIMITED,Bellbroughton 275kV Energy Park,,0,500,500,2027-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e0000010wlo,PRO-002826
Bellrock Offshore Wind Farm,BLUEFLOAT ENERGY UK HOLDINGS LIMITED,Lyra 320/66kV Offshore Substation,,0,1200,1200,2033-10-31,Scoping,Directly Connected,SPT,Wind Offshore,a0l4L0000005izE,PRO-001496
Benbrack Wind Farm,Benbrack Wind Farm Limited,Benbrack Wind Farm 132/33kV Substation,,0,72,72,2024-05-30,Awaiting Consents,Directly Connected,SPT,Wind Onshore,a0l4L0000005ila,PRO-000032
Bendle Farm,Balance Power Ltd,Gretna 400kV Substation,,0,228,228,2031-10-31,Scoping,Directly Connected,SPT,Energy Storage System,a0l4L0000005ikk,PRO-002243
Bendsmoor BESS,GPC Battery Ltd,Gretna 400kV Substation,,0,500,500,2032-06-30,Scoping,Directly Connected,SPT,Energy Storage System,a0l8e0000011zPm,PRO-003582
Benthead Solar,Benthead Solar Limited,Kilwinning GSP,,0,63,63,2025-04-03,Scoping,Embedded,SPT,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iQP,PRO-001881
Berkswell (Tertiary),ENSO GREEN HOLDINGS LIMITED,Berkswell 275kV Substation,1,0,49.9,49.9,2025-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iy3,PRO-000516-1
Berkswell (Tertiary),ENSO GREEN HOLDINGS LIMITED,Berkswell 275kV Substation,2,0,7.1,57,2027-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iy3,PRO-000516-2
Berkswell BESS,O&G Solar (SPV 43) Limited,Berkswell B 275kV Substation,,0,249.9,249.9,2033-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000000f4n0,PRO-003868
Berkswell Energy Storage,Penso Power Limited,Berkswell 275kV Substation,,0,200,200,2026-10-31,Awaiting Consents,Directly Connected,NGET,Energy Storage System,a0l4L0000005ixb,PRO-001788
Berryburn Extension Wind Farm,BB2 WIND FARM LIMITED,Berry Burn GSP,,0,43.2,43.2,2024-10-31,Scoping,Embedded,SHET,Wind Onshore,a0l4L0000005iUG,PRO-001558
Berry Burn Wind Farm,BERRY BURN WIND FARM LIMITED,Berry Burn GSP,,67,0,67,,Built,Embedded,SHET,Wind Onshore,a0l4L0000005iUx,PRO-000033
Berwick Bank Offshore Wind Farm A,BERWICK BANK A LIMITED,Berwick Bank A 275/66kV Offshore Substation,,0,1150,1150,2027-11-27,Scoping,Directly Connected,SPT,Wind Offshore,a0l8e0000010wTn,PRO-002627
Berwick Bank Offshore Wind Farm B,Berwick Bank B Limited,Berwick Bank B 275/66kV Offshore Substation,1,0,250,250,2027-11-27,Scoping,Directly Connected,SPT,Wind Offshore,a0l8e000000snsQ,PRO-002628-1
Berwick Bank Offshore Wind Farm B,Berwick Bank B Limited,Berwick Bank B 275/66kV Offshore Substation,2,0,900,1150,2027-12-30,Scoping,Directly Connected,SPT,Wind Offshore,a0l8e000000snsQ,PRO-002628-2
Berwick Bank Offshore Wind Farm C,BERWICK BANK C LIMITED,Blyth 400kV Substation,,0,1800,1800,2029-11-30,Scoping,Directly Connected,NGET,Wind Offshore,a0l4L0000005io7,PRO-000513
BESS Cilfynydd,CSWE 2 LIMITED,Cilfynydd 400kV Substation,,0,200,200,2029-07-12,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iz1,PRO-002008
