,_id,Project Name,Customer Name,Connection Site,Stage,MW Connected,MW Increase / Decrease,Cumulative Total Capacity (MW),MW Effective From,Project Status,Agreement Type,HOST TO,Plant Type,Project ID
16,17,Aikengall IIa Wind Farm,AIKENGALL IIA COMMUNITY WIND COMPANY LIMITED,,,81.2,0,81.2,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005iph
17,18,Aikengall II Windfarm,AIKENGALL II COMMUNITY WIND COMPANY LIMITED,,,63.8,0,63.8,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005itG
18,19,Airies Wind Farm,AIRIES WINDFARM LIMITED,Newton Stewart 132/33kV Substation,,35,0,35,,Built,Embedded,SPT,Wind Onshore,a0l4L0000005iWS
19,20,Al Boum Photo (Norton),AL BOUM PHOTO LTD,Norton 400kV Substation,,0,275,275,31/10/2031,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005ixr
20,21,Alcemi Bramford Battery Energy Storage Facility,ALCEMI STORAGE DEVELOPMENTS 1 LIMITED,Bramford 400kV Substation,,0,500,500,30/10/2030,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iaq
21,22,Alcemi Coalburn Battery Energy Storage Facility,ALCEMI STORAGE DEVELOPMENTS 4 LIMITED,Coalburn 400kV GIS Substation,,0,500,500,31/10/2025,Scoping,Directly Connected,SPT,Energy Storage System,a0l4L0000005id4
22,23,Alcemi Devilla Battery Energy Storage Facility,ALCEMI STORAGE DEVELOPMENTS 3 LIMITED,Longannet 275kV Substation,,0,500,500,30/10/2027,Scoping,Directly Connected,SPT,Energy Storage System,a0l4L0000005icy
23,24,Alcemi Midmill BESF,ALCEMI STORAGE DEVELOPMENTS 2 LIMITED,Kintore 275kV,,0,300,300,31/10/2029,Scoping,Directly Connected,SHET,Energy Storage System,a0l4L0000005iaA
24,25,Alcemi Score 2 Battery Energy Storage Facility,ALCEMI STORAGE DEVELOPMENTS 5 LIMITED,Peterhead GSP,,0,500,500,31/10/2029,Scoping,Directly Connected,SHET,Energy Storage System,a0l4L0000005ikE
25,26,Alcemi Score Battery Energy Storage Facility,ALCEMI STORAGE DEVELOPMENTS 5 LIMITED,Alcemi Score Battery 400kV Substation,,0,500,500,31/10/2029,Scoping,Directly Connected,SHET,Energy Storage System,a0l4L0000005izQ
26,27,Almondell Lodge BESS & Solar Development,SIRIUS RENEWABLE ENERGY LTD,Broxburn GSP,,0,50,50,30/04/2024,Awaiting Consents,Embedded,SPT,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iTt
27,28,Alverdiscott,PIVOTED POWER LLP,Alverdiscott 400kV Substation,,0,49.9,49.9,31/10/2023,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005ieS
28,29,Alverdiscott,XLINKS LIMITED,Alverdiscott 400kV Substation,,0,1800,1800,01/11/2027,Scoping,Directly Connected,NGET,Wind Offshore,a0l4L0000005iwa
29,30,Alverdiscott 2,XLINKS LIMITED,Alverdiscott 400kV Substation,,0,1800,1800,01/11/2030,Scoping,Directly Connected,NGET,Wind Offshore,a0l4L0000005iwb
30,31,Alyth,ECODEV (ALYTH) LTD,Alyth Solar and Battery 400/132kV,,0,450,450,31/10/2029,Scoping,Directly Connected,SHET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iZL
31,32,Andershaw Wind Farm,ANDERSHAW WIND POWER LIMITED,,,35,0,35,,Built,Embedded,SPT,Wind Onshore,a0l4L0000005iWT
32,33,An Suidhe Wind Farm - Argyll (SRO),AN SUIDHE WIND FARM LIMITED,Eredine GSP,,19.3,0,19.3,,Built,Directly Connected,SHET,Wind Onshore,a0l4L0000005itH
33,34,Arbroath Battery Substation,ARBROATH LIMITED,Arbroath GSP,,0,35,35,21/02/2022,Consents Approved,Embedded,SHET,Energy Storage System,a0l4L0000005iSw
34,35,Ardkinglas,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Ardkinglas GSP,,19.25,0,19.25,,Built,Embedded,SHET,Wind Onshore,a0l4L0000005iWV
35,36,Arecleoch,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Arecleoch 132kV Substation,1,114,0,114,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005itI
36,37,Arecleoch,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Arecleoch 132kV Substation,2,0,216,330,15/06/2032,Scoping,Directly Connected,SPT,Wind Onshore,a0l4L0000005itI
37,38,Arecleoch Windfarm Extension,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Arecleoch 132kV Substation,,0,72.8,72.8,01/08/2024,Scoping,Directly Connected,SPT,Wind Onshore,a0l4L0000005ixH
38,39,Armadale Wind Farm,WIND DEVELOPMENT HOLDINGS LIMITED,Armadale 132/33kV Substation,,0,99,99,01/06/2026,Awaiting Consents,Directly Connected,SHET,Wind Onshore,a0l4L0000005ipj
39,40,Arresgill Wind Farm,Arresgill Energy Limited,Arresgill 132kV Substation,,0,150,150,31/10/2031,Scoping,Directly Connected,SPT,Wind Onshore,a0l4L0000005ikZ
40,41,Artfield Forest Windfarm,ARTFIELD FOREST WIND FARM LTD,Newton Stewart GSP,,0,67.2,67.2,01/05/2026,Scoping,Embedded,SPT,Wind Onshore,a0l4L0000005iRE
41,42,Assel Valley Wind Farm,ASSEL VALLEY WIND ENERGY LIMITED,Maybole 132/33KV Substation,,29.95,0,29.95,,Built,Embedded,SPT,Wind Onshore,a0l4L0000005iWW
42,43,Auchrobert Wind Farm,AUCHROBERT WIND ENERGY LIMITED,Linmill 132/33kV Substation,,36,0,36,,Built,Embedded,SPT,Wind Onshore,a0l4L0000005iUp
43,44,Aurora Offshore Windfarm,SIMPLY BLUE ENERGY (AURORA) LIMITED,Alverdiscott 400kV Substation,,0,1000,1000,31/10/2031,Scoping,Directly Connected,NGET,Wind Offshore,a0l4L0000005ij0
44,45,Awel Y Mor Extension,AWEL Y MOR OFFSHORE WIND FARM LIMITED,Bodelwyddan 400kV Substation,1,0,574,574,01/04/2027,Scoping,Directly Connected,NGET,Wind Offshore,a0l4L0000005ipB
45,46,Awel Y Mor Extension,AWEL Y MOR OFFSHORE WIND FARM LIMITED,Bodelwyddan 400kV Substation,2,0,526,1100,01/04/2028,Scoping,Directly Connected,NGET,Wind Offshore,a0l4L0000005ipB
46,47,Axminster,CSE25 LIMITED,Axminster 400kV Substation,,0,150,150,31/10/2028,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005ixi
47,48,Axminster,PIVOTED POWER LLP,Axminster 400kV Substation,,0,49.9,49.9,31/10/2027,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iuf
48,49,Axminster - New Connection,ENSO GREEN HOLDINGS B LIMITED,Axminster 400kV Substation,1,0,49.9,49.9,30/06/2025,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ixw
49,292,Dolgarrog,RWE GENERATION UK PLC,Pentir GSP,,39,0,39,,Built,Embedded,NGET,Hydro,a0l4L0000005iVP
50,50,Axminster - New Connection,ENSO GREEN HOLDINGS B LIMITED,Axminster 400kV Substation,2,0,49.9,99.8,30/06/2026,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ixw
51,51,Axminster - New Connection,ENSO GREEN HOLDINGS B LIMITED,Axminster 400kV Substation,3,0,20.2,120,30/12/2026,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ixw
52,52,Axminster Tertiary,HB825AXM LTD,Axminster 400kV Substation,,0,120,120,31/10/2024,Awaiting Consents,Directly Connected,NGET,Energy Storage System,a0l4L0000005ixv
53,53,Ayrshire Grid Services Facility,FLEXIBLEGRIDPOWER LTD,Hunterston East 400kV substation,,0,0,0,29/04/2024,Scoping,Directly Connected,SPT,Reactive Compensation,a0l4L0000005ibc
54,54,Bad a Cheo Wind Farm,RWE RENEWABLES UK SWINDON LIMITED,Mybster 3 33kV Substation,,26.65,0,26.65,,Built,Directly Connected,SHET,Wind Onshore,a0l4L0000005ilU
55,55,Baglan Bay,BAGLAN GENERATING LIMITED,Baglan Bay GSP,,0,0,0,,Built,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine),a0l4L0000005ilV
56,56,Baillie Greener Grid Park,STATKRAFT UK LTD,Baillie 275KV Substation,,0,48,48,31/10/2026,Scoping,Directly Connected,SHET,Energy Storage System; Reactive Compensation,a0l4L0000005ig3
57,57,Baillie Wind Farm,BAILLIE WINDFARM LIMITED,Dounreay GSP,,52.5,0,52.5,,Built,Embedded,SHET,Wind Onshore,a0l4L0000005iUq
58,58,Balbougie Energy Centre BEGA,Balbougie Energy Centre II Limited,Inverkeithing GSP,,0,42,42,30/04/2025,Scoping,Embedded,SPT,Energy Storage System,a0l4L0000005iTp
59,59,Balliemeanoch PSH,ILI (Borders PSH) Ltd,,,0,900,900,31/10/2034,Scoping,Directly Connected,SHET,Pump Storage,a0l4L0000005iRO
60,60,Balvedavist 162 Battery Storage,Sun4net Ltd,Mybster 132/33kV Substation,,0,162,162,31/07/2027,Scoping,Directly Connected,SHET,Energy Storage System,a0l4L0000005iaJ
61,61,Bankend Rig III Wind Farm,Wilson Renewables III LLP,,,0,78,78,30/04/2030,Scoping,Directly Connected,,,a0l8e000000TPcZ
62,62,Bankside BESS,FALKIRK POWER LTD,,,0,43,43,31/10/2024,Scoping,Directly Connected,SPT,Energy Storage System,a0l4L0000005iWY
63,63,Barrow Offshore Wind Farm,BARROW OFFSHORE WIND LIMITED,Barrow 132/33kV Offshore Substation,,90,0,90,,Built,Directly Connected,OFTO,Wind Offshore,a0l4L0000005ilX
64,64,Barton Hill,VIRIDIS 178 LIMITED,Abham GSP,,20.88,0,20.88,,Built,Embedded,NGET,CHP (Combined Heat and Power),a0l4L0000005iUs
65,65,Battery Point BESS,Point and Sandwick Power Limited,,,0,25,25,31/10/2030,Scoping,Embedded,SHET,Energy Storage System,a0l4L0000005iMM
66,1068,Westermost Rough Offshore Wind Farm,WESTERMOST ROUGH LIMITED,,,206.5,0,206.5,,Built,Directly Connected,OFTO,Wind Offshore,a0l4L0000005iqI
67,66,Beatrice Sync Comp,TINZ PROGRAMME 1 PROJECTCO 3 LIMITED,Beatrice 400kV Substation,,0,1,1,31/07/2023,Scoping,Directly Connected,OFTO,Reactive Compensation,a0l4L0000005ihi
68,67,Beatrice Wind Farm,BEATRICE OFFSHORE WINDFARM LIMITED,Beatrice 400kV Substation,,588,0,588,,Built,Directly Connected,SHET,Wind Offshore,a0l4L0000005ilY
69,68,Beaw Field Wind Farm,PEEL NRE WIND FARMS (YELL) LIMITED,Beaw Field 132/33kV Substation,,0,72,72,01/04/2027,Consents Approved,Directly Connected,SHET,Wind Onshore,a0l4L0000005iya
70,69,Beechgreen Energyfarm,BEECHGREEN ENERGYFARM LIMITED,Burwell Main 400kV Substation,,0,49.99,49.99,21/10/2022,Scoping,Directly Connected,NGET,PV Array (Photo Voltaic/solar),a0l4L0000005ixn
71,70,Beech Street/City Road,CITIGEN (LONDON) LIMITED,Beech Street/City Road Substation,,30,0,30,,Built,Embedded,NGET,CHP (Combined Heat and Power),a0l4L0000005iUt
72,71,Beinn an Tuirc 2,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Carradale 1 GSP,,43.7,0,43.7,,Built,Embedded,SHET,Wind Onshore,a0l4L0000005iUu
73,72,Beinn an Tuirc 3,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Carradale 1 GSP,,50,0,50,,Built,Embedded,SHET,Wind Onshore,a0l4L0000005iUv
74,73,Beinneun Wind Farm,BEINNEUN WIND FARM LTD,Beinneun 132kV Substation,,109,0,109,,Built,Directly Connected,SHET,Wind Onshore,a0l4L0000005ilZ
75,74,Beinn Pumped Hydro Storage,STATERA ENERGY LIMITED,Fasnakyle GSP,,0,600,600,31/10/2029,Scoping,Directly Connected,SHET,Pump Storage,a0l4L0000005ikv
76,75,Beinn Tharsuinn,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Alness GSP,,29,0,29,,Built,Embedded,SHET,Wind Onshore,a0l4L0000005iUw
77,76,Beinn Tharsuinn Extension,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Beinn Tharsuinn Extension 132/33kV Substation,,0,84,84,01/10/2027,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005iaN
78,77,Benbrack Wind Farm,Benbrack Wind Farm Limited,Benbrack Wind Farm 132/33kV Substation,,0,72,72,30/05/2024,Awaiting Consents,Directly Connected,SPT,Wind Onshore,a0l4L0000005ila
79,78,Bendle Farm,Balance Power Ltd,Gretna 400kV Substation,,0,228,228,31/10/2031,Scoping,Directly Connected,SPT,Energy Storage System,a0l4L0000005ikk
80,79,Benthead Solar,Benthead Solar Limited,Kilwinning GSP,,0,63,63,03/04/2025,Scoping,Embedded,SPT,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iQP
81,80,Berkswell (Tertiary),ENSO GREEN HOLDINGS LIMITED,Berkswell 275kV Substation,1,0,49.9,49.9,31/10/2025,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iy3
82,81,Berkswell (Tertiary),ENSO GREEN HOLDINGS LIMITED,Berkswell 275kV Substation,2,0,7.1,57,31/10/2027,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iy3
83,82,Berkswell Energy Storage,Penso Power Limited,Berkswell 275kV Substation,,0,200,200,31/10/2026,Awaiting Consents,Directly Connected,NGET,Energy Storage System,a0l4L0000005ixb
84,83,Berry Burn Wind Farm,BERRY BURN WIND FARM LIMITED,Berry Burn GSP,,67,0,67,,Built,Embedded,SHET,Wind Onshore,a0l4L0000005iUx
85,84,Berwick Bank Offshore Wind Farm A,Berwick Bank B Limited,Berwick Bank A 275/66kV Offshore Substation,,0,1150,1150,27/11/2027,Scoping,Directly Connected,SPT,Wind Offshore,a0l8e0000010wTn
86,85,Berwick Bank Offshore Wind Farm B,Berwick Bank B Limited,Berwick Bank B 275/66kV Offshore Substation,1,0,250,250,27/11/2027,Scoping,Directly Connected,,Wind Offshore,a0l8e000000snsQ
87,86,Berwick Bank Offshore Wind Farm B,Berwick Bank B Limited,Berwick Bank B 275/66kV Offshore Substation,2,0,900,1150,30/12/2027,Scoping,Directly Connected,,Wind Offshore,a0l8e000000snsQ
88,87,Berwick Bank Offshore Wind Farm C,BERWICK BANK C LIMITED,Blyth 400kV Substation,,0,1800,1800,31/10/2031,Scoping,Directly Connected,NGET,Wind Offshore,a0l4L0000005io7
89,88,BESS Cilfynydd,CSWE 2 LIMITED,Cilfynydd 400kV Substation,,0,200,200,12/07/2029,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iz1
90,89,BESS Harker,CSWE 4 LIMITED,Harker 400kV Substation,,0,200,200,30/05/2031,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005ia7
91,90,BESS Swan,CSWE 3 LIMITED,Swansea North 400kV Substation,,0,200,200,31/10/2028,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005ia6
92,91,Bhlaraidh Extension Wind Farm,SSE GENERATION LIMITED,Bhlaraidh 132/33kV Substation,,0,100.8,100.8,01/04/2026,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005iln
93,92,Bhlaraidh Wind Farm,SSE GENERATION LIMITED,Bhlaraidh 132/33kV Substation,,108,0,108,,Built,Directly Connected,SHET,Wind Onshore,a0l4L0000005ilb
94,93,Bicker Fen,PEPPERHILL SOLAR FARM LIMITED,Bicker Fen 400kV Substation,,0,600,600,01/06/2029,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iZP
95,94,Bicker Fen 1 Solar,AGR SOLAR 2 LIMITED,Bicker Fen 400kV Substation,1,0,49.995,49.995,30/09/2025,Awaiting Consents,Directly Connected,NGET,PV Array (Photo Voltaic/solar),a0l4L0000005iaO
96,95,Bicker Fen 1 Solar,AGR SOLAR 2 LIMITED,Bicker Fen 400kV Substation,2,0,7.005,57,01/04/2035,Scoping,Directly Connected,NGET,PV Array (Photo Voltaic/solar),a0l4L0000005iaO
97,96,Bicker Fen 2 Solar,AGR SOLAR 3 LIMITED,Bicker Fen 400kV Substation,1,0,49.995,49.995,30/09/2025,Awaiting Consents,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005itR
98,273,Dalquhandy Wind Farm,DALQUHANDY WIND FARM LIMITED,Dalquhandy 132/33kV Substation,,42,0,42,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005inm
99,97,Bicker Fen 2 Solar,AGR SOLAR 3 LIMITED,Bicker Fen 400kV Substation,2,0,7.005,57,01/04/2033,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005itR
100,98,Biggleswade BESS,Central Bedfordshire Council,Biggleswade GSP,,0,57,57,31/10/2029,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iyj
101,99,Bilbo Farm,LEL BILBO SOLAR LIMITED,Strichen GSP,,0,25,25,01/05/2021,Scoping,Embedded,SHET,PV Array (Photo Voltaic/solar),a0l4L0000005iXh
102,100,Bird Grove/Rownall,ROWNALL FARM SOLAR LIMITED,Cellarhead 400kV Substation,,0,57,57,01/06/2024,Scoping,Directly Connected,NGET,PV Array (Photo Voltaic/solar),a0l4L0000005izq
103,101,Blackcraig Wind Farm,BLACKCRAIG WIND FARM (SCOTLAND) LIMITED,,,52.9,0,52.9,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005ilc
104,102,Blackhillock Battery,BLACKHILLOCK FLEXPOWER LTD,Blackhillock 275kV Substation,,0,349,349,31/10/2026,Scoping,Directly Connected,SHET,Energy Storage System,a0l4L0000005iZ0
105,103,Blacklaw,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Blacklaw Wind Farm Substation,,0,222,340,15/06/2029,Scoping,Directly Connected,SPT,Wind Onshore,a0l4L0000005ild
106,104,Blacklaw,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Blacklaw Wind Farm Substation,,118,0,118,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005ild
107,105,Blacklaw Extension,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Blacklaw Extension 132kV Substation,,60,0,60,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005ilz
108,106,Blaen y Glyn,BANC DU ENERGY PARK LIMITED,Chirk GSP,,0,46,46,04/02/2027,Scoping,Embedded,NGET,Wind Onshore,a0l4L0000005ik1
109,107,Blankney Solar,ACRE LANE ENERGYFARM LIMITED,Navenby 400kV Substation,1,0,400,400,01/04/2028,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iPH
110,108,Blankney Solar,ACRE LANE ENERGYFARM LIMITED,Navenby 400kV Substation,2,0,400,800,01/04/2030,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iPH
111,109,Blarghour Wind,BLARGHOUR WIND FARM LIMITED,Blarghour Substation,,0,73.1,73.1,30/04/2026,Consents Approved,Directly Connected,SHET,Wind Onshore,a0l4L0000005ita
112,110,Blary Hill Wind Farm,BLARY HILL ENERGY LIMITED,Carradale 1 GSP,,35,0,35,,Built,Embedded,SHET,Wind Onshore,a0l4L0000005iUz
113,111,Bloch Energy Park,RENEWABLE ENERGY SYSTEMS LIMITED,Blotch energy Park,,0,126,126,31/10/2031,Scoping,Directly Connected,SPT,Energy Storage System; Wind Onshore,a0l4L0000005ivP
114,112,Bloxwich,BLOXWICH ENERGY STORAGE LIMITED,Bustleholm 132kV Substation,,41,0,41,,Built,Embedded,NGET,Energy Storage System,a0l4L0000005iOi
115,113,BLUE PLANET SOLAR,BLUE PLANET SOLAR LIMITED,Dungeness 400kV Substation,,0,500,500,31/10/2029,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ig5
116,114,Bodelwyddan BESS and PV,IGP SOLAR 21 LIMITED,Bodelwyddan 400kV Substation,,0,110,110,31/10/2029,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iPC
117,115,Bodinglee Wind Farm,Banks Renewables (Bodinglee Wind Farm) Limited,Bodinglee Wind Farm 132kV,,0,280,280,30/04/2029,Scoping,Directly Connected,SPT,Energy Storage System; Wind Onshore,a0l4L0000005iZQ
118,116,Bolney,PIVOTED POWER LLP,Bolney 400kV Substation,,0,49.9,49.9,31/10/2027,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iaR
119,117,Bolney (tertiary),BOLNEY GREEN LIMITED,Bolney 400kV Substation,1,0,49.9,49.9,30/10/2024,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ilr
120,118,Bolney (tertiary),BOLNEY GREEN LIMITED,Bolney 400kV Substation,2,0,7.1,57,30/10/2025,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ilr
121,119,BOOM Power Llanbabo Generation,BOOM POWER LTD,Wylfa 400kV Substation,,0,300,300,30/06/2024,Awaiting Consents,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ihH
122,120,Botley West - Cote Solar Power Station,SOLARFIVE LTD,Botley West 400kV Substation,,0,840,840,30/10/2026,Scoping,Directly Connected,NGET,PV Array (Photo Voltaic/solar),a0l4L0000005ijz
123,121,Bowdun (ex Cluaran Deas Ear) Offshore Wind Farm,THISTLE WIND PARTNERS CLUARAN DEAS EAR Limited,New Deer 2 400kV Substation,,0,1008,1008,31/10/2033,Scoping,Directly Connected,SHET,Wind Offshore,a0l4L0000005ido
124,122,Bradford West 100MW,24 Power Ltd,Bradford West GSP,,0,100,100,31/08/2025,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iQL
125,123,Braelangwell Wind Farm,WIND DEVELOPMENT HOLDINGS LIMITED,Shin GSP,,0,68,68,30/11/2025,Awaiting Consents,Embedded,SHET,Wind Onshore,a0l4L0000005iSO
126,124,Braes of Doune,BRAES OF DOUNE WIND FARM (SCOTLAND) LIMITED,Braco West GSP,,74,0,74,,Built,Embedded,SHET,Wind Onshore,a0l4L0000005iV9
127,125,Braidfield Battery Storage,Braidfield Battery Storage Ltd,Windyhills 132kV Substation,,0,100,100,27/09/2027,Scoping,Directly Connected,SPT,Demand; Energy Storage System,a0l4L0000005iyF
128,126,Braintree,PIVOTED POWER LLP,Braintree 400kV Substation,,0,49.9,49.9,30/10/2024,Awaiting Consents,Directly Connected,NGET,Energy Storage System,a0l4L0000005iZf
129,127,Braintree (Tertiary),CSE22 LIMITED,Braintree 400kV Substation,,0,49.9,49.9,30/07/2025,Scoping,Directly Connected,NGET,PV Array (Photo Voltaic/solar),a0l4L0000005iZe
130,128,Bramford (Tertiary),PIVOTED POWER LLP,Bramford 400kV Substation,,0,49.9,49.9,01/11/2023,Awaiting Consents,Directly Connected,NGET,Energy Storage System,a0l4L0000005iy5
131,129,Bramford Greener Grid Park,STATKRAFT UK LTD,Bramford 400kV Substation,,0,0,0,31/10/2029,Scoping,Directly Connected,NGET,Reactive Compensation,a0l4L0000005ibE
132,130,Bramford Tertiary,BRAMFORD GREEN LIMITED,Bramford 400kV Substation,1,0,49.9,49.9,31/10/2023,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ilN
133,131,Bramford Tertiary,BRAMFORD GREEN LIMITED,Bramford 400kV Substation,2,0,7.1,57,31/10/2024,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ilN
134,132,Bramley (tertiary),ENSO GREEN HOLDINGS LIMITED,Bramley 400kV Substation,,0,57,57,31/10/2023,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ilO
135,133,Bramley BESS,BRAMLEY BESS LIMITED,Bramley 400kV Substation,,0,49.995,49.995,01/07/2024,Scoping,Directly Connected,NGET,PV Array (Photo Voltaic/solar),a0l4L0000005igr
136,134,Branxton Energy Storage Facility,EastCoastGridServices Ltd,Branxton 400kV Substation,,0,750,750,30/12/2027,Scoping,Directly Connected,SPT,Energy Storage System,a0l4L0000005ida
